txn_id,customer_id,amount,txn_type,city,txn_date,status,is_fraud
TXN-10035,CUST-495,34420.83,Wallet,Kochi,2024-04-05,PENDING,false
TXN-10079,CUST-163,24883.36,UPI,Mumbai,2024-04-08,SUCCESS,false
TXN-10089,CUST-150,9512.35,Card,Surat,2024-04-15,FAILED,false
TXN-00578,CUST-436,11454.36,Card,Kolkata,2024-01-17,SUCCESS,false
TXN-00936,CUST-515,16426.77,UPI,Delhi,2024-01-18,SUCCESS,false
TXN-10020,CUST-345,6968.2,Wallet,Hyderabad,2024-04-15,SUCCESS,false
TXN-00142,CUST-448,17185.49,UPI,Bangalore,2024-02-11,SUCCESS,false
TXN-00350,CUST-312,13680.95,UPI,Kolkata,2024-01-26,SUCCESS,false
TXN-10086,CUST-158,31322.76,UPI,Jaipur,2024-04-10,SUCCESS,false
TXN-10031,CUST-233,25200.28,Card,Bangalore,2024-04-12,SUCCESS,false
TXN-00309,CUST-545,8944.07,Wallet,Ahmedabad,2024-02-14,SUCCESS,false
TXN-10030,CUST-500,11569.65,Card,Hyderabad,2024-04-03,SUCCESS,false
TXN-00987,CUST-315,11632.36,UPI,Hyderabad,2024-01-13,SUCCESS,false
TXN-00105,CUST-359,11296.2,Wallet,Mumbai,2024-01-09,SUCCESS,false
TXN-00783,CUST-136,7392.46,UPI,Bangalore,2024-02-18,SUCCESS,false
TXN-10014,CUST-526,23784.5,Card,Bhopal,2024-04-05,SUCCESS,false
TXN-00029,CUST-410,16156.58,Card,Delhi,2024-01-03,SUCCESS,false
TXN-00099,CUST-280,7449.38,UPI,Delhi,2024-01-13,SUCCESS,false
TXN-10057,CUST-582,34173.25,UPI,Chennai,2024-04-02,SUCCESS,false
TXN-00002,CUST-296,9862.11,UPI,Pune,2024-01-12,SUCCESS,false
TXN-00306,CUST-368,3622.8,Card,Indore,2024-01-16,SUCCESS,false
TXN-00655,CUST-543,17250.44,UPI,Mumbai,2024-01-30,SUCCESS,false
TXN-00899,CUST-499,12070.8,UPI,Chandigarh,2024-02-19,SUCCESS,false
TXN-10100,CUST-460,1810.11,Card,Kochi,2024-04-13,SUCCESS,true
TXN-10083,CUST-106,7217.3,UPI,Mumbai,2024-04-14,SUCCESS,false
TXN-10017,CUST-408,12312.34,UPI,Chandigarh,2024-04-01,SUCCESS,false
TXN-00855,CUST-109,1977.55,UPI,Bangalore,2024-01-16,SUCCESS,false
TXN-10032,CUST-452,24261.31,Card,Chennai,2024-04-14,FAILED,false
TXN-00798,CUST-105,8379.03,Card,Bangalore,2024-02-02,SUCCESS,false
TXN-10042,CUST-178,31286.94,UPI,Jaipur,2024-04-12,PENDING,false
TXN-00135,CUST-546,5754.92,Wallet,Delhi,2024-02-21,SUCCESS,false
TXN-10078,CUST-577,20657.43,UPI,Delhi,2024-04-01,SUCCESS,false
TXN-10024,CUST-522,7475.18,UPI,Chennai,2024-04-15,SUCCESS,false
TXN-00281,CUST-234,5325.39,Wallet,Indore,2024-02-04,SUCCESS,false
TXN-10009,CUST-387,8837.19,UPI,Mumbai,2024-04-13,SUCCESS,false
TXN-10043,CUST-548,33398.07,UPI,Pune,2024-04-05,SUCCESS,false
TXN-10095,CUST-350,17558.68,UPI,Jaipur,2024-04-10,SUCCESS,false
TXN-00517,CUST-357,12814.82,UPI,Hyderabad,2024-03-12,SUCCESS,false
TXN-00147,CUST-574,16523.64,UPI,Delhi,2024-02-25,SUCCESS,false
TXN-00594,CUST-204,15085.0,Card,Pune,2024-03-22,SUCCESS,false
TXN-10028,CUST-206,24660.07,UPI,Delhi,2024-04-14,SUCCESS,false
TXN-10040,CUST-472,31268.89,UPI,Pune,2024-04-15,SUCCESS,false
TXN-10015,CUST-264,28878.0,Wallet,Jaipur,2024-04-02,SUCCESS,false
TXN-00207,CUST-323,9328.44,UPI,Delhi,2024-01-13,SUCCESS,false
TXN-10069,CUST-144,29688.88,Card,Kochi,2024-04-03,SUCCESS,false
TXN-10044,CUST-385,12311.98,UPI,Lucknow,2024-04-12,FAILED,false
TXN-00951,CUST-260,9936.61,Wallet,Surat,2024-03-12,SUCCESS,false
TXN-00392,CUST-582,18891.89,UPI,Pune,2024-02-04,SUCCESS,false
TXN-00512,CUST-569,3781.92,UPI,Kolkata,2024-02-29,SUCCESS,false
TXN-10052,CUST-450,30127.77,UPI,Kolkata,2024-04-04,FAILED,false
TXN-00524,CUST-134,17448.48,Card,Mumbai,2024-03-21,SUCCESS,false
TXN-10092,CUST-471,16144.41,Card,Mumbai,2024-04-10,PENDING,false
TXN-00959,CUST-192,12906.59,UPI,Kochi,2024-02-12,SUCCESS,false
TXN-10002,CUST-265,13474.24,Card,Pune,2024-04-08,SUCCESS,false
TXN-00775,CUST-242,16949.55,Card,Bangalore,2024-03-14,SUCCESS,false
TXN-10025,CUST-261,28825.24,UPI,Jaipur,2024-04-04,FAILED,false
TXN-00643,CUST-178,5599.47,UPI,Jaipur,2024-01-25,SUCCESS,false
TXN-10006,CUST-388,11173.41,UPI,Ahmedabad,2024-04-06,FAILED,false
TXN-10068,CUST-125,4775.98,Card,Pune,2024-04-03,SUCCESS,false
TXN-10055,CUST-310,17627.02,Wallet,Jaipur,2024-04-15,FAILED,false
TXN-10098,CUST-364,33558.13,Card,Jaipur,2024-04-13,SUCCESS,false
TXN-10021,CUST-111,9635.16,UPI,Indore,2024-04-04,SUCCESS,false
TXN-00349,CUST-426,18018.66,Card,Mumbai,2024-02-28,SUCCESS,false
TXN-10013,CUST-323,3628.24,UPI,Delhi,2024-04-05,PENDING,false
TXN-10090,CUST-554,24726.65,Card,Kolkata,2024-04-02,SUCCESS,false
TXN-00252,CUST-201,2707.85,Wallet,Chennai,2024-03-05,SUCCESS,false
TXN-10082,CUST-409,30192.14,UPI,Chennai,2024-04-13,SUCCESS,false
TXN-10010,CUST-167,841.02,Card,Kolkata,2024-04-13,SUCCESS,false
TXN-10056,CUST-395,16641.2,UPI,Bhopal,2024-04-09,SUCCESS,false
TXN-10070,CUST-519,15548.17,Card,Hyderabad,2024-04-10,SUCCESS,false
